,okt_noun,okt_verb
139,"['위드', '코로나', '외국', '다시', '것']","['하니까', '그렇고', '심해지는', '같아']"
140,"['위드', '코로나', '수능', '마스크', '착용', '물', '준비']",['마실']
141,"['응단', '백신', '패스', '방침', '알', '못', '꾀꼬리']","['싶다', '찾겠다']"
142,"['위드', '코로나']","['되고', '바쁨']"
143,"['백신', '패스', '반대', '세계', '시민', '걷기', '대회', '전', '세계', '개국', '동시', '진행', '일', '오후', '시', '서울', '홍대역', '번', '출구', '부산', '해운대역', '번', '출구', '대전', '전역', '광장', '각각', '진행']","['하는', '써']"
144,"['아치', '새끼', '이제', '위드', '코로나', '우리', '내년']","['하겠다', '다', '쓸어', '버린다']"
145,"['신세계', '센텀시티', '골드', '트', '단계', '일상', '회복', '프로젝트', '일', '크리스마스', '감동', '즐거움', '미리', '준비', '크리스마스', '감동', '즐거움', '골드', '트', '매장', '체험', '신세계', '센텀시티', '매장', '오픈', '주년']","['하셔야죠', '가능합니다', '특별함까지']"
146,"['월요일', '화요일', '도', '천명', '아래', '거', '거', '단계', '일상', '회복', '제동', '거']","['떨어지지', '않는', '보면', '아무래도', '걸릴', '같기도', '하고']"
147,"['백신', '패스', '관운', '접종', '완료', '거', '인증', '제대로', '거기', '바로', '모름']","['그러고', '보니', '해야', '하는데', '들어가셨을지', '모르겠네', '알려', '드리고', '떠나서']"
148,"['짜증', '나', '이번', '연도', '내', '첫', '남자배구', '직관', '눈앞', '위드', '코로나', '폐지', '이', '지랄', '새끼', '땜', '내', '뭐', '때문', '더', '차', '주']","['있는데', '하는', '맞고', '기다렸는데']"
149,"['네', '백신', '접종', '증명서', '입국', '유럽', '백신', '패스', '발급', '대요']","['찾아보니까', '가서', '받으면', '된']"
150,"['문', '대통령', '꼽', '위드', '코로나', '요소', '내년', '분기', '완료', '전망']",[]
151,"['미리', '위드', '코로나', '상황', '수도', '담임', '선생님', '말', '추측', '달', '술', '수', '입대', '기억', '소실', '후', '다음', '날', '듯', '쪼아']","['말씀드리거나', '따라', '가능할', '있단', '있긴', '했음', '불확실함', '희', '희', '한', '지나면', '마실', '있다고요', '되어', '있을', '함께', '놀아요', '즐겁게', '놉시다']"
152,"['요', '백신', '패스', '관', '안', '뭐', '저', '견문', '남', '용', '케케']","['가려고요', '아직', '부족해서', '푸푸', '마니', '배워', '갈랍니다']"
153,"['이번', '콘', '백신', '패스', '구나']",[]
